"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"OutcomeReview","OutcomeReview","","","",0,*,"","","","null {[]} {[]}
","Outcome Review","A review assessing outcomes of performable elements","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"OutcomeReview.refersTo","OutcomeReview.refersTo","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The patient this plan element pertains to","The patient this plan element pertains to","","","","","","","","","",,,,,"",,,,"PlanElement.refersTo",1,1,"",""
"OutcomeReview.hasAuthor","OutcomeReview.hasAuthor","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/CareTeamMember]]}
","Who authored this plan element","Who authored this plan element","","","","","","","","","",,,,,"",,,,"PlanElement.hasAuthor",1,*,"",""
"OutcomeReview.contains","OutcomeReview.contains","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/CarePlanManifestation]]}
","The care plan manifestation containing this element","The care plan manifestation containing this element","","","","","","","","","",,,,,"",,,,"PlanElement.contains",0,1,"",""
"OutcomeReview.review","OutcomeReview.review","","","",1,1,"","","","http://hl7.org/dam/StructureDefinition/Review {[]} {[]}
","Review pattern properties","Review pattern properties","","","","","","","","","",,,,,"",,,,"OutcomeReview.review",1,1,"",""
"OutcomeReview.outcome","OutcomeReview.outcome","","","",1,1,"","","","code {[]} {[]}
","The assessed outcome","The assessed outcome","","","","","","","","","",,"required","","http://hl7.org/dam/ValueSet/outcome-vs","",,,,"OutcomeReview.outcome",1,1,"",""
"OutcomeReview.criterion","OutcomeReview.criterion","","","",1,1,"","","","string {[]} {[]}
","Criterion used for assessment","Criterion used for assessment","","","","","","","","","",,,,,"",,,,"OutcomeReview.criterion",1,1,"",""
"OutcomeReview.assesses","OutcomeReview.assesses","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/Performable]]}
","Performable elements assessed","Performable elements assessed","","","","","","","","","",,,,,"",,,,"OutcomeReview.assesses",1,*,"",""
"OutcomeReview.supportsGoal","OutcomeReview.supportsGoal","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/Goal]]}
","Goals supported by this outcome","Goals supported by this outcome","","","","","","","","","",,,,,"",,,,"OutcomeReview.supportsGoal",0,*,"",""
"OutcomeReview.referencesExecution","OutcomeReview.referencesExecution","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/ActivityExecution]]}
","Activity executions referenced","Activity executions referenced","","","","","","","","","",,,,,"",,,,"OutcomeReview.referencesExecution",0,*,"",""
"OutcomeReview.referencesObservation","OutcomeReview.referencesObservation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/dam/StructureDefinition/ActivityOutcomeObservation]]}
","Observations referenced","Observations referenced","","","","","","","","","",,,,,"",,,,"OutcomeReview.referencesObservation",0,*,"",""
