URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/dam/CodeSystem/acknowledgement-cs,0.1.0,active,,AcknowledgementCS,Acknowledgement Code System,"Codes for acknowledgment decisions","ValueSet/acknowledgement-vs"
http://hl7.org/dam/CodeSystem/activity-completion-status-cs,0.1.0,active,,ActivityCompletionStatusCS,Activity Completion Status Code System,"Codes for activity completion status","ValueSet/activity-completion-status-vs"
http://hl7.org/dam/CodeSystem/activity-order-status-cs,0.1.0,active,,ActivityOrderStatusCS,Activity Order Status Code System,"Codes for activity order status","ValueSet/activity-order-status-vs"
http://hl7.org/dam/CodeSystem/decision-mode-cs,0.1.0,active,,DecisionModeCS,Decision Mode Code System,"Codes for how decisions are made","ValueSet/decision-mode-vs"
http://hl7.org/dam/CodeSystem/modification-type-cs,0.1.0,active,,ModificationTypeCS,Modification Type Code System,"Codes for types of modifications","ValueSet/modification-type-vs"
http://hl7.org/dam/CodeSystem/outcome-cs,0.1.0,active,,OutcomeCS,Outcome Code System,"Codes for outcome assessment","ValueSet/outcome-vs"
http://hl7.org/dam/CodeSystem/performance-status-cs,0.1.0,active,,PerformanceStatusCS,Performance Status Code System,"Codes for performance status of activities","ValueSet/performance-status-vs"
http://hl7.org/dam/CodeSystem/plan-definition-cs,0.1.0,active,,CarePlanDefinitionCS,Plan Definition Code System,"Codes for types of plan definitions","ValueSet/plan-definition-vs"
http://hl7.org/dam/CodeSystem/plan-purpose-cs,0.1.0,active,,PlanPurposeCS,Plan Purpose Code System,"Codes for care plan purposes","ValueSet/plan-purpose-vs"
http://hl7.org/dam/CodeSystem/preference-context-cs,0.1.0,active,,PreferenceContextCS,Preference Context Code System,"Codes for preference contexts","ValueSet/preference-context-vs"
http://hl7.org/dam/CodeSystem/review-event-cs,0.1.0,active,,ReviewEventCS,Review Event Code System,"Codes for events that trigger reviews","ValueSet/review-event-vs"
http://hl7.org/dam/CodeSystem/specification-type-cs,0.1.0,active,,SpecificationTypeCS,Specification Type Code System,"Codes for care plan specification types","ValueSet/specification-type-vs"
